date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,482,0,204,1,26,4,249,
2020-11-13 00:00:00,3,520,2,32,0,31,0,453,
2021-09-18 00:00:00,4238,337321,0,0,165,13191,0,1348,
2020-04-20 00:00:00,0,66,0,4,0,0,2,61,
2020-08-30 00:00:00,0,484,0,156,0,28,18,296,
2021-06-20 00:00:00,138,3008,159,1763,0,34,0,968,
2020-12-29 00:00:00,2,573,2,14,0,31,1,524,
2020-05-17 00:00:00,0,67,0,3,0,0,0,64,
2022-03-01 00:00:00,18920,812804,0,0,10,20453,0,0,
2021-05-05 00:00:00,3,778,4,81,0,31,0,660,
2022-02-25 00:00:00,14480,734265,0,0,15,20405,0,0,
2021-07-25 00:00:00,4571,61464,5458,55006,0,267,0,1348,
2021-09-30 00:00:00,4374,391593,0,0,106,14954,0,1348,
2021-09-02 00:00:00,6012,237900,5811,113246,201,9795,0,1348,
2020-05-15 00:00:00,0,67,0,3,0,0,0,64,
2022-03-15 00:00:00,28038,1148402,0,0,6,20592,0,0,
2022-04-28 00:00:00,1139,1591128,0,0,0,20729,0,0,
2021-09-24 00:00:00,3790,368819,0,0,141,14221,0,1348,
2022-01-28 00:00:00,2250,599317,0,0,10,20105,0,0,
2022-03-03 00:00:00,19121,851587,0,0,17,20480,0,0,
2020-10-21 00:00:00,0,489,0,5,0,31,0,448,
2021-01-09 00:00:00,0,579,0,11,0,31,2,533,
2022-02-21 00:00:00,6963,688052,0,0,9,20354,0,0,
2021-12-22 00:00:00,1829,521717,0,0,39,19352,0,0,
2020-12-22 00:00:00,0,569,0,20,0,31,6,513,
2020-07-02 00:00:00,0,73,0,2,0,0,0,70,
2020-07-22 00:00:00,0,73,0,0,0,0,0,72,
2020-07-24 00:00:00,0,73,0,0,0,0,0,72,
2020-10-17 00:00:00,1,487,1,3,0,31,0,448,
2021-08-17 00:00:00,3696,159005,220,76621,285,5246,0,1348,
2020-10-16 00:00:00,0,486,0,2,0,31,0,448,
2021-10-03 00:00:00,2462,400451,0,0,79,15252,0,1348,
2021-05-20 00:00:00,8,968,4,217,0,31,1,705,
2021-04-05 00:00:00,3,672,2,20,0,31,2,616,
2022-04-16 00:00:00,3104,1571012,0,0,1,20726,0,0,
2021-03-04 00:00:00,0,653,0,11,0,31,2,607,
2021-07-28 00:00:00,4502,78371,54,64362,91,487,0,1348,
2021-01-04 00:00:00,2,578,2,14,0,31,0,529,
2020-03-28 00:00:00,1,54,0,0,0,0,0,6,
